,GM#,BOS,NYY,BAL,TBR,TOR,CHW,CLE,DET,KCR,MIN,HOU,LAA,OAK,SEA,TEX,ATL,MIA,NYM,PHI,WSN,CHC,CIN,MIL,PIT,STL,ARI,COL,LAD,SDP,SFG
129,129,51,35,-55,7,-9,-29,17,-23,-51,-7,29,-3,25,17,-15,15,-27,-13,9,-1,23,-17,13,-3,15,13,13,7,-29,-3
130,130,50,36,-56,8,-10,-28,18,-24,-50,-8,30,-4,26,18,-14,16,-26,-14,10,-2,24,-18,14,-2,14,14,12,8,-30,-4
131,131,49,35,-57,9,-11,-27,19,-25,-51,-9,31,-5,27,17,-15,17,-25,-15,9,-1,25,-19,13,-3,15,13,11,9,-31,-3
132,132,48,36,-56,8,-12,-28,18,-26,-50,-8,30,-4,26,16,-16,16,-26,-16,8,0,24,-18,14,-4,16,12,12,10,-32,-2
133,133,49,35,-55,9,-13,-27,19,-27,-49,-9,31,-5,27,15,-17,15,-27,-15,9,1,25,-19,13,-3,15,13,11,11,-33,-1
134,134,50,34,-54,8,-12,-28,20,-26,-48,-8,30,-4,26,16,-18,14,-28,-16,10,0,24,-20,14,-4,16,14,10,10,-32,0
135,135,51,35,-55,9,-13,-27,19,-27,-47,-9,29,-3,25,15,-19,15,-29,-15,9,-1,25,-21,15,-3,17,13,11,11,-31,-1
136,136,50,36,-56,10,-12,-28,18,-28,-46,-10,30,-4,26,16,-18,16,-28,-14,8,0,26,-20,16,-4,16,12,12,12,-30,0
137,137,51,35,-57,,,-27,,-27,,,31,-5,25,15,-17,,-29,,,-1,,-19,15,-5,15,11,,13,-29,-1
138,138,50,,,,,,,,,,,,26,,,,,,,,,,16,,,,,,-30,-2
139,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31,
140,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
